医院,科室,套餐,时长,手术天数,价格 HKD,备注,链接
香港中文大學醫院,內視鏡中心,胃鏡檢查,住院,1.1日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$34,716-$54,506""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：是否附加息肉切除術。2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,內視鏡中心,胃鏡檢查 (日間手術),日間,日間,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$16,156-$27,130""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,耳鼻喉科,微型喉鏡檢查,住院,1.0日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$65,748-$75,691""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,耳鼻喉科,扁桃體切除術,住院,1.5日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$66,667-$101,242""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,眼科,超聲波乳化白內障摘出術加人工晶體植入,住院,1.0日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$53,233-$77,879""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,眼科,超聲波乳化白內障摘出術加人工晶體植入 (日間),日間,日間,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$33,770-$43,700""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,普通外科,乳房腫塊切除術,住院,1.3日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$71,170-$95,776""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,普通外科,乳房腫塊切除術 (日間),日間,日間,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$52,175-$58,972""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費'].標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,普通外科,腹腔鏡膽囊切除術,住院,1.8日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$95,688-$125,086""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,普通外科,包皮環切術,住院,1.0日,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$34,481-$50,357""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,普通外科,包皮環切術 (日間),日間,日間,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$29,674-$44,596""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",2025年歷史統計。總收費=醫生費+醫院費。標準房。,https://www.cuhkmc.hk/sc/fees-and-charges/price-transparency/reference-charges-for-common-surgical-procedures
香港中文大學醫院,內視鏡中心,胃鏡檢查 (鎮靜麻醉),日間 / 住院,日間 / 标准住院,"""""""""""""""$10,550-$19,430""""""""""""""",价格变动原因是：检查复杂程度及活組織切片樽数（0-3樽）。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/endoscopy-package-fees
香港中文大學醫院,內視鏡中心,胃鏡檢查 (監測麻醉),日間 / 住院,日間 / 标准住院,"""""""""""""""$12,750-$23,630""""""""""""""",价格变动原因是：检查复杂程度及活組織切片樽数（0-3樽）。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/endoscopy-package-fees
香港中文大學醫院,內視鏡中心,結腸內視鏡檢查 (鎮靜麻醉),日間 / 住院,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$13,250-$20,710""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：检查复杂程度及活組織切片樽数（0-3樽）。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/endoscopy-package-fees
香港中文大學醫院,內視鏡中心,結腸內視鏡檢查 (監測麻醉),日間 / 住院,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$16,350-$24,380""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：检查复杂程度及活組織切片樽数（0-3樽）。Trick点。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/endoscopy-package-fees
香港中文大學醫院,普通外科,超聲波導引甲狀腺細針穿刺檢查,日間 / 住院,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$14,960-$19,530""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：麻醉级别与住院形式。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/general-surgery
香港中文大學醫院,普通外科,偏側甲狀腺切除術,住院,手术风险等级,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$85,960-$186,600""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：是否使用能量設備及住院級別。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/general-surgery
香港中文大學醫院,普通外科,局部/次全/全甲狀腺/副甲狀腺切除術,住院,手术风险等级,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$94,360-$248,800""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：切除范围（局部/次全/全/副甲状腺）、是否使用能量設備及住院級別。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/general-surgery
香港中文大學醫院,普通外科,腹腔疝氣修補術,日間 / 住院,住院级别,"""""""""""""""$51,000-$176,900""""""""""""""",价格变动原因是：手术形式（開放式/腹腔鏡）、住院形式及住院級別。均包括使用人工網膜補片及全身麻醉。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/general-surgery
香港中文大學醫院,普通外科,單側腹股溝疝氣修補術,日間 / 住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$40,800-$88,600""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术形式（開放式/腹腔鏡）、麻醉与形式（全身/局部/鎮靜麻醉）、是否使用人工網膜補片。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/general-surgery
香港中文大學醫院,普通外科,雙側腹股溝疝氣修補術,住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$62,010-$200,800""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术形式（開放式/腹腔鏡）及是否使用人工網膜補片。均在全身麻醉下住院进行。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/general-surgery
香港中文大學醫院,普通外科,腹腔鏡闌尾切除術,住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$91,290-$170,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：慢阑尾炎病症复杂程度（非複雜性/複雜性）。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/general-surgery
香港中文大學醫院,骨科,關節鏡手術 (肩部/盂唇修補/肩袖修復/減壓),日間 / 住院,住院级别,"""""""""""""""$109,370-$253,800""""""""""""""",价格变动原因是：手术形式（盂唇韧带/肩袖修复）与住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,全肩關節置換術,住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$198,500-$397,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,開放性復位及內固定術 (鎖骨/手腕橈骨遠端骨折),住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$138,500-$277,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：骨折具体部位（锁骨/桡骨远端）与住院级别.包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,內視鏡腕管解除術 (連帶或不連帶板機狀指鬆解),日間 / 住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$49,380-$133,600""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：是否附加板機狀指鬆解及住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,板機狀指鬆解術,日間 / 住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$19,600-$48,900""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：麻醉方式（局部麻醉/全身麻醉）与住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,關節鏡手術 (膝部/韌帶重建/半月板修復術),日間 / 住院,住院级别,"""""""""""""""$63,620-$325,000""""""""""""""",价格变动原因是：术式复杂性（单侧游离体移除/半月板修复/前或后十字韧带重建）与住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,全人工膝關節置換術 (單側 / 雙側),住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$156,900-$521,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：单侧或双侧置换、使用的品牌植入物（S&N/ZIMMER/STRYKER）及住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,開放性復位及內固定術 (單側髕骨/單雙踝足踝骨折),住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$71,170-$188,800""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：骨折具体部位（髌骨/足踝单双踝）与住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,髖關節全關節置換,住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$163,800-$332,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：使用的品牌植入物（S&N/ZIMMER/STRYKER）及住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
香港中文大學醫院,骨科,跟腱修補術 / 踝關節鏡外側韌帶修補手術,日間 / 住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$65,220-$182,300""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：术式类型（开放式跟腱/关节镜韧带修补）与住院级别。包括所有醫院收費及所有醫生費用。,https://www.cuhkmc.hk/sc/medical-packages/cumc-medical-package/orthopaedics
深圳新風和睦家醫院,內視鏡中心,無痛胃鏡健康檢查 (監察麻醉),日間 / 住院,日間 / 住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$6,000-$9,125""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：住院休养形式（标准日間操作/PRO精英版1天不过夜/PRO休養版入住1晚）。不含超出套餐外的病理活检及息肉切除。套餐包含全额胃镜检查费、麻醉及医生费。,https://www.szufh.hk/xiaohuaneijing.html
深圳新風和睦家醫院,內視鏡中心,無痛腸鏡健康檢查 (監察麻醉),日間 / 住院,日間 / 住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$6,875-$10,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：住院休养形式（标准日間操作/PRO精英版1天不过夜/PRO休養版入住1晚）。不含超出套餐外的病理活检及息肉切除。套餐包含全额肠镜检查费、麻醉及医生费。,https://www.szufh.hk/xiaohuaneijing.html
深圳新風和睦家醫院,內視鏡中心,無痛胃腸鏡健康檢查 (雙鏡聯合),日間 / 住院,日間 / 住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$9,375-$12,500""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：住院休养形式（标准日間操作/PRO精英版1天不过夜/PRO休養版入住1晚）。不含超出套餐外的病理活检及息肉切除。专为双镜联合设计的套餐。,https://www.szufh.hk/xiaohuaneijing.html
深圳新風和睦家醫院,內視鏡中心,胃腸鏡手術同台/伴隨加項包 (活檢/息肉切除/EMR),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$1,250-$12,500""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：加项处置类别（活检数量等级小于3/3-5/>5、息肉切除数量等级1/2-4/>4、高阶内镜黏膜下剥离EMR）。本行为同台手术加项，需依附于内镜检查。,https://www.szufh.hk/xiaohuaneijing.html
深圳新風和睦家醫院,內視鏡中心,胃腸鏡同台加項 - 痔瘡處置術,日間 / 住院,1晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$3,125-$25,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：痔疮术式类别（传统切除术/RBL胶圈套扎/库克一次性套扎/硬化剂注射）与手术风险等级。属于同台手术加项。标准住院天数为0至1晚。,https://www.szufh.hk/xiaohuaneijing.html
深圳新風和睦家醫院,婦產科,子宮頸病變治療手術 (錐切/LEEP/環紮/射頻),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$7,500-$43,750""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术具体术式（锥切/LEEP/环扎/射频治疗）以及麻醉形式（局部麻醉/监测麻醉）。包括全包医院费、麻醉及医生费。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,婦產科,子宮鏡診治手術 (活檢/息肉/縱隔/黏連/異物),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$25,000-$31,250""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术风险等级（一般风险/中等风险）。项目包含子宫镜下的活组织检查、息肉切除、纵隔切除、黏连分离及异物取出。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,婦產科,子宮肌瘤切除術 (子宮鏡/腹腔鏡/開放式),日間 / 住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$35,000-$93,750""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术路径形式（子宮鏡/腹腔鏡/開放式）与手术风险等级。标准住院天数为日間至3晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,婦產科,子宮切除術 (腹腔鏡/LAVH/開放式),住院,3晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$81,250-$121,875""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术术式（常规腹腔鏡/LAVH輔助/開放式）与手术风险等级。标准住院天数均为3晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,婦產科,輸卵管及宮外孕手術 (結紮/造影/切開取胚),日間 / 住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$6,000-$78,125""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：具体手术项目（超声输卵管造影/腹腔镜结扎术/切开取胚/宫外孕切除）与手术风险等级。标准住院天数为日間至1晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,婦產科,卵巢囊腫切除術 (腹腔鏡單雙側/開放式),住院,3晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$62,500-$85,938""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：切除手术范围（腹腔鏡單側/雙側/開放式）与手术风险等级。标准住院天数均为3晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,婦產科,避孕及終止妊娠 (置置環/取出/避孕植入/D&C),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$2,500-$22,500""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：具体处置项目（普通或Mirena子宫环置入/取出、皮下避孕剂置入/取出、终止妊娠子宫扩刮术）。均在日间操作完成。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,泌尿外科,前列腺診療手術 (MRI活檢/消融/懸擴/電切/剜除),日間 / 住院,住院级别,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$31,250-$101,563""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术术式（MRI-超声融合活检/Rezum热蒸汽消融/Urolift悬扩/TURP电切/HoLEP铥激光剜除）与手术风险等级。标准住院天数为日間至3晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,泌尿外科,泌尿系結石碎石＆雙J管支架移除手術,日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$12,500-$90,625""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术形式（输尿管硬镜/软镜铥激光碎石术、硬镜/软镜双J管拔除）与手术风险等级。均在日间手术室完成。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,泌尿外科,尿動力檢查＆膀胱尿道鏡檢查 (伴或不伴活檢),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$9,375-$18,750""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：项目类别（常规尿动力学套餐/膀胱尿道镜）与手术风险等级。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,泌尿外科,男科處置手術 (輸精管結紮 / 包皮環切/環扎術),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$6,250-$25,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术术式（输精管切除术/传统/套环/吻合器包皮枪）与麻醉形式及年龄段（局麻/全麻、儿童/成人/新生儿）与手术风险等级。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,普通外科,肛腸手術 - 痔瘡專項處置 (傳統/RBL套扎/硬化劑),日間 / 住院,1晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$7,250-$25,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：痔疮术式类别（传统切除术/RBL胶圈套扎/库克一次性套扎/硬化剂注射）与手术风险等级。标准住院天数为日間至1晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,普通外科,膽囊切除術 (腹腔鏡含超聲刀 / 開放式),住院,2晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$68,750-$85,938""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术形式（常规腹腔鏡/開放式）与手术风险等级。标准住院天数均为2晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,普通外科,闌尾切除術 (腹腔鏡 / 開放式),住院,1晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$62,250-$90,625""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术形式（常规腹腔鏡/開放式）与手术风险等级.标准住院天数均为1晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,普通外科,甲狀腺處置手術 (穿刺活檢 / 次全切 / 全切術),日間 / 住院,3晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$4,750-$109,375""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术术式（超声引导下穿刺活检/次全切除/全切除术）与手术风险等级。标准住院天数为日間至3晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,普通外科,輸液港手術 (巴德港置入術 / 取出術),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$12,250-$46,875""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：处置形式（置入/取出）与麻醉形式（局部麻醉/监测麻醉/全身麻醉）及手术风险等级。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,普通外科,乳腺抽針＆真空輔助旋切活檢術 (FNA/CNB/VAB),日間,日間 / 标准住院,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$3,500-$35,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：术式类别（细针FNA/粗针CNB/旋切VAB）、进刀口与结节增项数量、单双侧以及麻醉。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,普通外科,乳腺外科手術 (腫塊切除/乳腺癌根治術伴淋巴清掃),日間 / 住院,3晚 - 5晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$35,000-$125,000""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术路径复杂程度（单双侧肿块切除/部分切除+前哨活检/乳腺癌根治术）与手术风险等级。标准住院天数为日間至5晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,骨科,人工關節置換術 (全膝置換/單髁置換/全髖置換),住院,5晚 - 6晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$52,500-$168,750""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手术部位及形式（全膝/单髁/机械臂辅助CORI/全髋陶瓷对陶瓷/陶瓷对聚乙烯）、指定耗材品牌选项以及手术风险等级。标准住院天数为5至6晚。,https://www.szufh.hk/shoushusf.html
深圳新風和睦家醫院,骨科,脊柱手術 (腰椎融合PLIF/TLIF/頸椎ACDF/ADR/UBE減壓),住院,3晚 - 6晚,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""$135,000-$265,625""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",价格变动原因是：手術術式（腰椎減壓融合/頸椎前路融合ACDF/人工椎間盤ADR/UBE鏡下減壓術）、是否屬於【集採】渠道耗材以及手術風險等級。標準住院天數為3至6晚。,https://www.szufh.hk/shoushusf.html
